conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a,επίλυση τεχνικών προβλημάτων,released,skill/competence,cross-sector,,Εντοπισμός τεχνικών προβλημάτων κατά το χειρισμό συσκευών και τη χρήση ψηφιακών περιβαλλόντων και επίλυση αυτών (από την αντιμετώπιση σφαλμάτων έως την επίλυση πιο σύνθετων προβλημάτων).,http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91 | http://data.europa.eu/esco/skill/a628d2d1-f40a-4c37-a357-2801726f2996 | http://data.europa.eu/esco/skill/0b9968af-72de-470a-98e1-2d19577443fb,επίλυση προβλημάτων με εργαλεία και εξοπλισμό της τεχνολογίας πληροφοριών και επικοινωνιών | εντοπισμός προβλημάτων | επίλυση προβλημάτων πληροφορικής
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/16a00c69-9c74-4c37-96d7-6301d285e5ce,χρήση ηλεκτρονικών υπηρεσιών,released,skill/competence,cross-sector,δραστηριοποίηση στα κοινά μέσω ψηφιακών τεχνολογιών,Συμμετοχή στην κοινωνία με χρήση δημόσιων και ιδιωτικών ψηφιακών υπηρεσιών. Αναζήτηση ευκαιριών για αυτοενδυνάμωση και συμμετοχή των πολιτών μέσω κατάλληλων ψηφιακών τεχνολογιών.,http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,ψηφιακή επικοινωνία και συνεργασία | χρήση ψηφιακών εργαλείων για συνεργασία και παραγωγικότητα
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1a4cc54f-1e53-442b-a6d2-1682dc8ef8f9,δημιουργική χρήση ψηφιακών τεχνολογιών,released,skill/competence,cross-sector,,Χρήση ψηφιακών εργαλείων και τεχνολογιών για τη δημιουργία γνώσης και την ανάπτυξη καινοτόμων διαδικασιών και προϊόντων. Συμμετοχή ατομικά και συλλογικά σε γνωστική διεργασία για την κατανόηση και την επίλυση εννοιολογικών προβλημάτων και προβληματικών καταστάσεων σε ψηφιακά περιβάλλοντα.,http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,επίλυση προβλημάτων με εργαλεία και εξοπλισμό της τεχνολογίας πληροφοριών και επικοινωνιών | χρήση ψηφιακών εργαλείων για συνεργασία και παραγωγικότητα
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1d6c7de4-350e-4868-a47b-333b4b0d9650,"αξιολόγηση δεδομένων, πληροφοριών και ψηφιακού περιεχομένου",released,skill/competence,cross-sector,,"Ανάλυση, σύγκριση και κριτική αξιολόγηση της πιστότητας και της αξιοπιστίας των πηγών δεδομένων, των πληροφοριών και του ψηφιακού περιεχομένου. Ανάλυση, ερμηνεία και κριτική αξιολόγηση των δεδομένων, των πληροφοριών και του ψηφιακού περιεχομένου.",http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a | http://data.europa.eu/esco/skill/1f2950c0-ef1e-44b4-9a55-125ccd7b78af,ψηφιακή επεξεργασία δεδομένων | ανάλυση και αξιολόγηση πληροφοριών και δεδομένων
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,προγραμματισμός ηλεκτρονικών υπολογιστών,released,knowledge,cross-sector,σύνταξη υπολογιστικού προγράμματος | ανάπτυξη υπολογιστών και λογισµικού | δημιουργία υπολογιστικού προγράμματος,"Οι τεχνικές και οι αρχές ανάπτυξης λογισμικού, όπως είναι η ανάλυση, οι αλγόριθμοι, η συγγραφή κώδικα, οι δοκιμές και η κατάρτιση μοντέλων προγραμματισμού (π.χ. προγραμματισμός προσανατολισμένος στο αντικείμενο, λειτουργικός προγραμματισμός) και γλωσσών προγραμματισμού.",http://data.europa.eu/esco/isced-f/0613,ανάπτυξη και ανάλυση λογισμικού και εφαρμογών
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/238343b1-7b51-42b3-a9ed-cf24d3a236e7,εντοπισμός ελλείψεων όσον αφορά την ψηφιακή ικανότητα,released,skill/competence,cross-sector,παροχή υποστήριξης για την αντιμετώπιση ελλείψεων όσον αφορά την ψηφιακή ικανότητα,"Κατανόηση των σημείων που χρήζουν βελτίωσης ή επικαιροποίησης σε ό,τι αφορά τις ψηφιακές ικανότητες ενός ατόμου. Ικανότητα παροχής υποστήριξης σε τρίτους για την ανάπτυξη των ψηφιακών τους ικανοτήτων Αναζήτηση ευκαιριών για προσωπική εξέλιξη και συνεχής ενημέρωση σχετικά με τις ψηφιακές εξελίξεις.",http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91 | http://data.europa.eu/esco/skill/54f7432d-a8b6-4ed4-a50e-9ec882320595,"επίλυση προβλημάτων με εργαλεία και εξοπλισμό της τεχνολογίας πληροφοριών και επικοινωνιών | παρακολούθηση, επιθεώρηση και δοκιμές"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b34a99f-9813-4c91-9509-b6b9b8c3132e,συνεργασία μέσω ψηφιακών τεχνολογιών,released,skill/competence,cross-sector,,Χρήση ψηφιακών εργαλείων και τεχνολογιών για συνεργατικές διαδικασίες και για συγκατασκευή και συνδημιουργία πόρων και γνώσεων.,http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,ψηφιακή επικοινωνία και συνεργασία | χρήση ψηφιακών εργαλείων για συνεργασία και παραγωγικότητα
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/33a82b83-c838-4889-ae62-fae1317481eb,προστασία των δεδομένων προσωπικού χαρακτήρα και της ιδιωτικής ζωής,released,skill/competence,cross-sector,,"Προστασία των δεδομένων προσωπικού χαρακτήρα και της ιδιωτικής ζωής σε ψηφιακά περιβάλλοντα. Κατανόηση του τρόπου χρήσης και κοινοποίησης προσωπικών πληροφοριών, έχοντας τη δυνατότητα να προστατευτεί και να προστατεύσει τους άλλους από ζημιές. Κατανόηση ότι οι ψηφιακές υπηρεσίες χρησιμοποιούν μια «πολιτική προστασίας προσωπικών δεδομένων» προκειμένου να ενημερώσουν σχετικά με τον τρόπο χρήσης των προσωπικών δεδομένων.",http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2 | http://data.europa.eu/esco/skill/2b6e15f5-dfa0-4e7c-9687-5665b07e56a4,ασφάλεια της τεχνολογίας πληροφοριών και επικοινωνιών | προστασία της ιδιωτικής ζωής και των δεδομένων προσωπικού χαρακτήρα
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/40001d93-8937-4859-89d5-2dca53290ff4,κοινοποίηση δεδομένων μέσω ψηφιακών τεχνολογιών,released,skill/competence,cross-sector,κοινοποίηση πληροφοριών μέσω ψηφιακών τεχνολογιών,"Κοινοποίηση δεδομένων, πληροφοριών και ψηφιακού περιεχομένου σε τρίτους μέσω κατάλληλων ψηφιακών τεχνολογιών. Συμπεριφορά ενδιάμεσου φορέα, γνώση των πρακτικών αναφοράς πηγών και κατόχων πνευματικών δικαιωμάτων.",http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,ψηφιακή επικοινωνία και συνεργασία | χρήση ψηφιακών εργαλείων για συνεργασία και παραγωγικότητα
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2,ασφάλεια της τεχνολογίας πληροφοριών και επικοινωνιών,released,,,ασφάλεια ΤΠΕ,"Η προσωπική προστασία, η προστασία των δεδομένων, η προστασία της ψηφιακής ταυτότητας, τα μέτρα ασφαλείας, η ασφαλής και βιώσιμη χρήση.",http://data.europa.eu/esco/skill/185c56ee-098f-46a1-af87-56337085da6f,προστασία συσκευών τπε
