conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,Haskell,released,knowledge,sector-specific,,"Τεχνικές και αρχές ανάπτυξης λογισμικού, όπως η ανάλυση, οι αλγόριθμοι, η συγγραφή κώδικα, οι δοκιμές και η κατάρτιση προγραμματιστικών υποδειγμάτων στην Haskell.",http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97 | http://data.europa.eu/esco/isced-f/0613,προγραμματισμός ηλεκτρονικών υπολογιστών | ανάπτυξη και ανάλυση λογισμικού και εφαρμογών
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,σταδιακή ανάπτυξη,released,knowledge,sector-specific,βηματική ανάπτυξη,Το μοντέλο σταδιακής ανάπτυξης είναι μια μεθοδολογία για τον σχεδιασμό συστημάτων και εφαρμογών λογισμικού.,http://data.europa.eu/esco/skill/bec4359e-cb92-468f-a997-8fb28e32fba9 | http://data.europa.eu/esco/isced-f/0613,μεθοδολογίες διαχείρισης έργων ΤΠΕ | ανάπτυξη και ανάλυση λογισμικού και εφαρμογών
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,KDevelop,released,knowledge,sector-specific,,"Το πρόγραμμα ηλεκτρονικού υπολογιστή KDevelop είναι μια σουίτα εργαλείων ανάπτυξης λογισμικού για τη σύνταξη προγραμμάτων, όπως είναι ο μεταγλωττιστής/μεταφραστής (compiler), ο εκσφαλματωτής (debugger), ο συντάκτης του κώδικα, η σήμανση σημείων κώδικα (code highlights), εντός ενιαίου πακέτου σε μια ενοποιημένη διεπαφή χρήστη. Αναπτύσσεται από την κοινότητα λογισμικού KDE.",http://data.europa.eu/esco/skill/925463a7-d51f-4d5b-9f79-4d28cf30acde | http://data.europa.eu/esco/isced-f/0612,ολοκληρωμένο περιβάλλον ανάπτυξης λογισμικού | σχεδιασμός και διαχείριση βάσεων δεδομένων και δικτύων
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0189f448-179e-47cc-9716-c5c3ac4b1aec,Absorb (συστήματα διαχείρισης μάθησης),released,knowledge,sector-specific,,"Το σύστημα εκμάθησης Absorb είναι μια πλατφόρμα ηλεκτρονικής μάθησης για τη δημιουργία, τη διαχείριση και την παροχή εκπαιδευτικών μαθημάτων ή προγραμμάτων κατάρτισης ηλεκτρονικής μάθησης σε μαθητές της δευτεροβάθμιας εκπαίδευσης.",http://data.europa.eu/esco/skill/6c80d53c-d8c9-41fe-998f-091fca208834 | http://data.europa.eu/esco/isced-f/0612,συστήματα διαχείρισης μάθησης | σχεδιασμός και διαχείριση βάσεων δεδομένων και δικτύων
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01d269d9-b058-4d6c-82a0-3779af9a124b,ανάπτυξη καινοτόμων αρχιτεκτονικών αλυσίδας συστοιχιών (blockchain),released,skill/competence,cross-sector,ανάπτυξη καινοτόμων αρχιτεκτονικών blockchain | δημιουργία καινοτόμων αρχιτεκτονικών αλυσίδας συστοιχιών (blockchain) | δημιουργία καινοτόμων αρχιτεκτονικών blockchain,Ανάπτυξη νέων αρχιτεκτονικών blockchain αλυσίδας συστοιχιών οι οποίες να καλύπτουν τις ιδιότητες και τις προτεραιότητες που είναι αναγκαίες για συγκεκριμένες εφαρμογές. Εξέταση των πλεονεκτημάτων και των ελλείψεων αυτών των νέων αρχιτεκτονικών σε σχέση με τις υφιστάμενες αρχιτεκτονικές.,http://data.europa.eu/esco/skill/b590d4e5-7c62-4b4a-abc2-c270b482e0ce,σχεδιασμός συστημάτων ή εφαρμογών τπε
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02058de6-4b98-449f-8a45-8588b0eb2446,μηχανική δικτύου,released,knowledge,sector-specific,τεχνολογία δικτύων | αρχιτεκτονική δικτύου,"Το υποπεδίο της τεχνολογίας υπολογιστών που αφορά τη διαχείριση της συνδεσιμότητας των δικτύων μέσω υπηρεσιών δεδομένων, φωνής, κλήσεων και ασύρματου δικτύου.
	",http://data.europa.eu/esco/skill/ddc3119d-1d6e-4324-9125-a3380d299ac5 | http://data.europa.eu/esco/isced-f/0714,τεχνολογία υπολογιστών | ηλεκτρονική και αυτοματισμός
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377,μετάπτωση υφιστάμενων δεδομένων,released,skill/competence,sector-specific,μετακίνηση υφιστάμενων δεδομένων | μεταφορά υφιστάμενων δεδομένων | μετάβαση υφιστάμενων δεδομένων,"Εφαρμογή μεθόδων μετάπτωσης και μετατροπής υφιστάμενων δεδομένων, με σκοπό τη μεταφορά ή τη μετατροπή δεδομένων μεταξύ μορφοτύπων, συστημάτων αποθήκευσης ή συστημάτων πληροφορικής.",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"διαχείριση, συλλογή και αποθήκευση ψηφιακών δεδομένων"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,ορισμός φυσικής δομής βάσης δεδομένων,released,skill/competence,sector-specific,καθιέρωση της φυσικής διάρθρωσης του αποθέματος βάσης δεδομένων | καθορισμός της φυσικής διάρθρωσης βάσης δεδομένων | ορισμός φυσικής διαμόρφωσης βάσης δεδομένων,"Προσδιορισμός της φυσικής διαμόρφωσης των αρχείων βάσεων δεδομένων για συγκεκριμένα μέσα αποθήκευσης δεδομένων. Αυτό συνίσταται στον καθορισμό λεπτομερών προδιαγραφών για τις επιλογές ευρετηρίασης, τους τύπους και τα στοιχεία δεδομένων που εισάγονται στο λεξικό δεδομένων.",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"διαχείριση, συλλογή και αποθήκευση ψηφιακών δεδομένων"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/024037ca-96a9-4cb8-ba86-2cd5a209c90a,Maltego,released,knowledge,sector-specific,,"Η πλατφόρμα Maltego είναι μια εφαρμογή διερεύνησης που χρησιμοποιεί την εξόρυξη δεδομένων για να παραδώσει μια επισκόπηση του περιβάλλοντος των οργανισμών, δοκιμάζοντας αδυναμίες στην ασφάλεια του συστήματος για δυνητικά μη εξουσιοδοτημένη πρόσβαση και καταδεικνύει την πολυπλοκότητα των αστοχιών της υποδομής.",http://data.europa.eu/esco/isced-f/0613 | http://data.europa.eu/esco/skill/de586dcf-d7e5-4340-bf5b-d59026f1b436,ανάπτυξη και ανάλυση λογισμικού και εφαρμογών | εργαλείο δοκιμής διείσδυσης
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0256f6b0-f4a9-4c5e-9cfd-96d58a2a70fe,χειρισμός εξοπλισμού ασύρματης επικοινωνίας,released,skill/competence,cross-sector,χειρισμός ραδιοεξοπλισμού,"Εγκατάσταση και λειτουργία ραδιοσυσκευών και εξαρτημάτων, όπως κονσόλες, ενισχυτές και μικρόφωνα. Κατανόηση των βασικών αρχών της γλώσσας του χειριστή ασυρμάτου και, όταν είναι απαραίτητο, παροχή πληροφοριών για τη σωστή διαχείριση του υλικού ασυρμάτου.",http://data.europa.eu/esco/skill/9bafaea2-76cd-4532-ab77-8b3d21fa6235 | http://data.europa.eu/esco/skill/0a88a13f-693a-4dde-b44c-22e6f98fabc6,συντονισμός της εξ αποστάσεως επικοινωνίας | χειρισμός εξοπλισμού επικοινωνίας
