conceptType,conceptUri,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
Occupation,http://data.europa.eu/esco/occupation/01ffb917-98dc-48c1-91ad-93c4104e791d,βιοϊατρικός μηχανικός,released,μηχανικός βιοϊατρικής τεχνολογίας | μηχανικός βιοϊατρικής,"Οι βιοϊατρικοί μηχανικοί συνδυάζουν τις γνώσεις των αρχών της μηχανικής με τα βιολογικά ευρήματα, για την ανάπτυξη ιατρικών θεραπειών, φαρμάκων και γενικών υπηρεσιών υγειονομικής περίθαλψης. Μπορούν να αναπτύσσουν λύσεις, από τη βελτίωση των συστατικών σε συμβατικά φάρμακα έως την ανάπτυξη εμφυτευμάτων και την επεξεργασία ιστών.",http://data.europa.eu/esco/occupation/f9433fdb-dde1-46cf-9e91-b49d243946a7,βιολόγος μηχανικός
Occupation,http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,εγκληματολόγος,released,,"Οι εγκληματολόγοι μελετούν τις συνθήκες που σχετίζονται με τους ανθρώπους, όπως οι κοινωνικές και οι ψυχολογικές πτυχές που θα μπορούσαν να τους οδηγήσουν στην τέλεση εγκληματικών πράξεων. Παρατηρούν και αναλύουν διάφορους παράγοντες, από τις συνθήκες συμπεριφοράς έως το κοινωνικό υπόβαθρο και το περιβάλλον των υπόπτων, με σκοπό την παροχή συμβουλών σε οργανισμούς που ασχολούνται με την πρόληψη του εγκλήματος.",http://data.europa.eu/esco/isco/C2632,"Κοινωνιολόγοι, ανθρωπολόγοι και ασκούντες συναφή επαγγέλματα"
Occupation,http://data.europa.eu/esco/occupation/0959cd1d-f6c8-4362-939a-ad7d5f75d659,πανεπιστημιακός καθηγητής οικονομικών επιστημών/πανεπιστημιακή καθηγήτρια οικονομικών επιστημών,released,καθηγήτρια οικονομικών | καθηγητής οικονομικών επιστημών | λέκτορας οικονομικών επιστημών | αναπληρώτρια καθηγήτρια οικονομικών επιστημών | επίκουρος καθηγητής οικονομικών επιστημών | λεκτόρισσα οικονομικών επιστημών | καθηγήτρια οικονομικών επιστημών | καθηγητής οικονομικών | πανεπιστημιακός καθηγητής οικονομικών επιστημών | αναπληρωτής καθηγητής οικονομικών επιστημών | επίκουρη καθηγήτρια οικονομικών επιστημών | πανεπιστημιακή καθηγήτρια οικονομικών επιστημών,"Οι πανεπιστημιακοί καθηγητές οικονομικών επιστημών είναι καθηγητές, βοηθοί καθηγητές, εκπαιδευτικοί, λέκτορες, βοηθοί λέκτορες, σύμβουλοι, που παρέχουν καθοδήγηση σε σπουδαστές στον δικό τους εξειδικευμένο τομέα σπουδών, τα οικονομικά. Αναπτύσσουν πρόγραμμα σπουδών, προετοιμάζουν μαθήματα (διαλέξεις, πρακτικές τάξεις, σεμινάρια, μαθήματα κ.λπ.), παρακολουθούν τα μαθησιακά αποτελέσματα, επιβλέπουν την πορεία σπουδών των φοιτητών. Διεξάγουν ακαδημαϊκή έρευνα στον τομέα της οικονομίας και παρουσιάζουν τα πορίσματά τους σε συνέδρια και δημοσιεύσεις. Είναι επιφορτισμένοι με ορισμένα διοικητικά καθήκοντα στο πανεπιστήμιο.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,καθηγητής τριτοβάθμιας εκπαίδευσης/καθηγήτρια τριτοβάθμιας εκπαίδευσης
Occupation,http://data.europa.eu/esco/occupation/0bf5d25a-2b4d-43b5-b053-beeb210fa43a,πανεπιστημιακός καθηγητής ιατρικής/πανεπιστημιακή καθηγήτρια ιατρικής,released,πανεπιστημιακή καθηγήτρια ιατρικής | καθηγητής ιατρικής | επίκουρος καθηγητής ιατρικής | λέκτορας ιατρικής | πανεπιστημιακός καθηγητής ιατρικής | καθηγήτρια ιατρικής | αναπληρωτής καθηγητής ιατρικής | αναπληρώτρια καθηγήτρια ιατρικής | λεκτόρισσα ιατρικής | επίκουρη καθηγήτρια ιατρικής,"Οι πανεπιστημιακοί καθηγητές ιατρικής είναι καθηγητές, εκπαιδευτικοί, λέκτορες και συχνά γιατροί, οι οποίοι διδάσκουν σε σπουδαστές με απολυτήριο ανώτερης δευτεροβάθμιας εκπαίδευσης, το δικό τους εξειδικευμένο πεδίο σπουδών, την ιατρική, το οποίο έχει κυρίως ακαδημαϊκό χαρακτήρα. Συνεργάζονται με τους βοηθούς ερευνητές και τους βοηθούς καθηγητή για την προετοιμασία των διαλέξεων και των εξετάσεων, για τη βαθμολόγηση των εργασιών και των εξετάσεων, προΐστανται σε εργαστηριακές πρακτικές, καθώς και σε μαθήματα επανεξέτασης και ανατροφοδότησης για τους φοιτητές. Επίσης, διεξάγουν ακαδημαϊκή έρευνα στον αντίστοιχο τομέα της ιατρικής, δημοσιεύουν τα πορίσματά τους και συνεργάζονται με άλλους συναδέλφους από το πανεπιστήμιο.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,καθηγητής τριτοβάθμιας εκπαίδευσης/καθηγήτρια τριτοβάθμιας εκπαίδευσης
Occupation,http://data.europa.eu/esco/occupation/0c7c9606-fde3-4658-8136-8fe0c9b8bd09,μηχανικός με ειδίκευση στα ιατροτεχνολογικά προϊόντα,released,ηλεκτρονικός μηχανικός με ειδίκευση στα ιατρικά όργανα | ηλεκτρονικός μηχανικός ιατρικών μηχανημάτων | ηλεκτρονικός μηχανικός με ειδίκευση στη βιοϊατρική τεχνολογία,"Οι μηχανικοί με ειδίκευση στα ιατροτεχνολογικά προϊόντα σχεδιάζουν και αναπτύσσουν ιατροτεχνικά συστήματα, εγκαταστάσεις και εξοπλισμό, όπως βηματοδότες, τομογράφους MRI, και μηχανήματα ακτίνων Χ. Παρακολουθούν όλη τη διαδικασία παραγωγής, από τον σχεδιασμό έως την υλοποίηση των προϊόντων. Οι αρμοδιότητές τους περιλαμβάνουν, μεταξύ άλλων, τον σχεδιασμό βελτιώσεων των προϊόντων, την ανάπτυξη μεθόδων και τεχνικών για την αξιολόγηση της καταλληλότητας του σχεδιασμού, τον συντονισμό της αρχικής παραγωγής, την ανάπτυξη διαδικασιών δοκιμών και τον σχεδιασμό κατασκευαστικών διαγραμμάτων.",http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,ηλεκτρονικός μηχανικός
Occupation,http://data.europa.eu/esco/occupation/0cd729a6-ed11-4338-ac4b-d4b924390128,ιστορικός,released,ιστορικός-εθνολόγος | αιγυπτιολόγος | ιστορικός ελληνοαραβικών σπουδών | ιστορικός της οικονομίας | στρατιωτική ιστορικός | ιστορικός τέχνης | στρατιωτικός ιστορικός,"Οι ιστορικοί ασχολούνται με την έρευνα, ανάλυση, ερμηνεία και παρουσίαση του παρελθόντος των ανθρώπινων κοινωνιών. Αναλύουν έγγραφα, πηγές και ίχνη του παρελθόντος για την κατανόηση παλαιότερων κοινωνιών.",http://data.europa.eu/esco/isco/C2633,"Φιλόσοφοι, ιστορικοί και πολιτικοί επιστήμονες"
Occupation,http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da,χημικός,released,ανόργανη χημικός | πυρηνικός χημικός | βιοχημικός | χημικός πραγωγής | οργανική χημικός | κβαντικός χημικός | οργανικός χημικός | αναλυτικός χημικός | κλινική χημικός | αναλυτική χημικός | κλινικός χημικός | ανόργανος χημικός | χημικός περιβάλλοντος | κβαντική χημικός | πυρηνική χημικός,"Οι χημικοί πραγματοποιούν εργαστηριακές έρευνες μέσω δοκιμών και ανάλυσης της χημικής δομής ουσιών. Τα αποτελέσματα της έρευνας βρίσκουν εφαρμογή σε διαδικασίες βιομηχανικής παραγωγής που χρησιμοποιούνται περαιτέρω για την ανάπτυξη ή τη βελτίωση των προϊόντων. Επίσης, οι χημικοί ελέγχουν την ποιότητα των κατασκευαζόμενων προϊόντων και τον περιβαλλοντικό τους αντίκτυπο.",http://data.europa.eu/esco/isco/C2113,Χημικοί
Occupation,http://data.europa.eu/esco/occupation/10291962-c0c7-4e5b-a7ed-0762b4d9b010,φαρμακολόγος,released,,"Οι φαρμακολόγοι μελετούν τον τρόπο με τον οποίο τα φάρμακα και οι φαρμακευτικές ουσίες αλληλεπιδρούν με τους οργανισμούς, τα ζωντανά συστήματα και τα μέρη τους (π.χ. κύτταρα, ιστοί ή όργανα). Σκοπός της έρευνάς τους είναι ο εντοπισμός ουσιών που μπορούν να προσληφθούν από τον άνθρωπο και οι οποίες εκτελούν βιοχημικές λειτουργίες κατάλληλες για τη θεραπεία ασθενειών.",http://data.europa.eu/esco/isco/C2131,"Βιολόγοι, βοτανολόγοι, ζωολόγοι και ασκούντες συναφή επαγγέλματα"
Occupation,http://data.europa.eu/esco/occupation/116b4c55-5bd0-41e9-9227-98d7ecffeaf6,πανεπιστημιακός καθηγητής κοινωνιολογίας/πανεπιστημιακή καθηγήτρια κοινωνιολογίας,released,λέκτορας κοινωνιολογίας | επίκουρος καθηγητής κοινωνιολογίας | λεκτόρισσα κοινωνιολογίας | πανεπιστημιακός καθηγητής κοινωνιολογίας | καθηγήτρια κοινωνιολογίας | καθηγητής κοινωνιολογίας | αναπληρωτής καθηγητής κοινωνιολογίας | επίκουρη καθηγήτρια κοινωνιολογίας | αναπληρώτρια καθηγήτρια κοινωνιολογίας,"Οι πανεπιστημιακοί καθηγητές κοινωνιολογίας είναι καθηγητές, εκπαιδευτικοί, ή λέκτορες, οι οποίοι παρέχουν εκπαίδευση σε σπουδαστές με απολυτήριο ανώτερης δευτεροβάθμιας εκπαίδευσης και τους διδάσκουν στον δικό τους εξειδικευμένο τομέα σπουδών, την κοινωνιολογία, η οποία έχει κυρίως ακαδημαϊκό χαρακτήρα. Συνεργάζονται με τους βοηθούς ερευνητές και τους βοηθούς καθηγητή για την προετοιμασία των διαλέξεων και των εξετάσεων, για τη βαθμολόγηση των εργασιών και των εξετάσεων και παρέχουν ανατροφοδότηση και αξιολόγηση στους φοιτητές. Επίσης, διεξάγουν ακαδημαϊκή έρευνα στον τομέα της κοινωνιολογίας, δημοσιεύουν τα πορίσματά τους και συνεργάζονται με άλλους συναδέλφους από το πανεπιστήμιο.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,καθηγητής τριτοβάθμιας εκπαίδευσης/καθηγήτρια τριτοβάθμιας εκπαίδευσης
Occupation,http://data.europa.eu/esco/occupation/11a6d0f6-e692-4774-aa5f-193b67d31022,κινησιολόγος,released,επιστήμονας κινησιολογίας | ειδικός κινησιολόγος | ειδική κινησιολόγος,"Οι κινησιολόγοι μελετούν και ερευνούν την κίνηση του σώματος, των μυών και των επιμέρους μερών τους. Αναλύουν και χρησιμοποιούν επιστημονικά δεδομένα και μεθόδους για τη βελτίωση της κίνησης του σώματος, γενικά στους ανθρώπους, μέσω της κατανόησης τομέων όπως η φυσιολογία, η κινητική, η νευρολογία και η βιολογία. Αναγνωρίζουν πώς ορισμένοι παράγοντες, όπως η σωματική κατάσταση, επηρεάζουν την κίνηση, και αναπτύσσουν λύσεις για τη βελτίωση της συνολικής μηχανικής και της κινητικότητας.",http://data.europa.eu/esco/isco/C2269,Επαγγελματίες του τομέα της υγείας π.δ.κ.α.
