conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f,σύνταξη επιστημονικών ή ακαδημαϊκών εγγράφων και τεχνικής τεκμηρίωσης,released,skill/competence,cross-sector,,"Σύνταξη και επιμέλεια επιστημονικών, ακαδημαϊκών ή τεχνικών κειμένων για διάφορα θέματα",http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe,τεχνική ή επιστημονική συγγραφή
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08b04e53-ed25-41a2-9f90-0b9cd939ba3d,διαχείριση ερευνητικών δεδομένων,released,skill/competence,cross-sector,,"Παραγωγή και ανάλυση επιστημονικών δεδομένων που προέρχονται από μεθόδους ποιοτικής και ποσοτικής έρευνας. Αποθήκευση και διατήρηση των δεδομένων σε βάσεις δεδομένων έρευνας. Υποστήριξη της περαιτέρω χρήσης επιστημονικών δεδομένων και εξοικείωση με τις αρχές διαχείρισης ανοικτών δεδομένων.
	",http://data.europa.eu/esco/skill/32c017fd-28ab-4051-bf68-74de952c2f77,διαχείριση πληροφοριών
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/20a8fe89-d4eb-4698-8521-8881c13377e0,Επαγγελματική αλληλεπίδραση σε περιβάλλοντα έρευνας και επαγγελματικά περιβάλλοντα,released,skill/competence,cross-sector,,"Επιδεικνύει σεβασμό προς τους άλλους, καθώς και συλλογικότητα. Ακούει, παρέχει και λαμβάνει παρατηρήσεις και απαντά με οξυδέρκεια στους άλλους, ενώ παράλληλα εποπτεύει και διοικεί το προσωπικό σε επαγγελματικό περιβάλλον.
	",http://data.europa.eu/esco/skill/91b0b918-942e-4661-b88c-70b9396529e5,συλλογική εργασία
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b1e2927-3542-48da-9063-02925e7562c1,διάδοση αποτελεσμάτων στην επιστημονική κοινότητα,released,skill/competence,cross-sector,δημοσιοποίηση των επιστημονικών αποτελεσμάτων,"Δημοσιοποίηση των επιστημονικών αποτελεσμάτων με κάθε κατάλληλο μέσο, συμπεριλαμβανομένων συνεδρίων, εργαστηρίων, διαλέξεων και επιστημονικών δημοσιεύσεων.
	",http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe,τεχνική ή επιστημονική συγγραφή
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b34764d-637c-48f5-aa70-31e15c965db6,ανάπτυξη λογισμικού ανοικτού κώδικα,released,skill/competence,sector-specific,,"Χειρισμός και παραγωγή λογισμικού ανοικτού κώδικα. Εξοικείωση με τα κύρια μοντέλα ανοικτού κώδικα τα συστήματα αδειοδότησης και τις πρακτικές κωδικοποίησης που εφαρμόζονται συνήθως κατά την παραγωγή λογισμικού ανοικτού κώδικα.
	",http://data.europa.eu/esco/skill/a8c3186b-c791-4d57-8f4f-4d12c7a5c6a7,προγραμματισμός συστημάτων ηλεκτρονικών υπολογιστών
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2de4572a-4724-4f76-afc2-72a568a264ac,επικοινωνία σε διαφορετικές γλώσσες,released,skill/competence,cross-sector,,Άριστη εκμάθηση ξένων γλωσσών ώστε να είναι δυνατή η επικοινωνία σε μία ή περισσότερες ξένες γλώσσες.,http://data.europa.eu/esco/skill/03961960-e729-4768-ab0a-49886132f17a,χρήση ξένων γλωσσών
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/39f67488-cfd3-4370-8d7e-da98163102d9,αξιολόγηση ερευνητικών δραστηριοτήτων,released,skill/competence,cross-sector,εκτελεί επιστημονική αξιολόγηση από ομοτίμους | αξιολογήσει τη μεθοδολογία της έρευνας | αξιολογήσει τα αποτελέσματα της έρευνας,"Αξιολόγηση της προόδου, του αντικτύπου και των αποτελεσμάτων συναδέλφων ερευνητών.
	",http://data.europa.eu/esco/skill/23cfb269-eec1-4011-8e57-c86203ce9fd7,διατύπωση παρατηρήσεων
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4134622c-c3fb-4a41-beb6-6d58ba5107db,επιστημονική εμπειρογνωσία,released,skill/competence,cross-sector,,"Επίδειξη βαθιάς γνώσης και σύνθετης κατανόησης ενός συγκεκριμένου ερευνητικού τομέα, συμπεριλαμβανομένων της υπεύθυνης έρευνας, της ερευνητικής δεοντολογίας και των αρχών επιστημονικής ακεραιότητας, της ιδιωτικής ζωής και των απαιτήσεων του ΓΚΠΔ, που σχετίζονται με ερευνητικές δραστηριότητες στο πλαίσιο συγκεκριμένου επιστημονικού κλάδου.
	",http://data.europa.eu/esco/skill/8fde007e-ea4c-48c2-84c5-752834acd31d,"διενέργεια μελετών, ερευνών και εξετάσεων"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4707da90-9cfc-46ca-8de0-38a0b7bfb137,αναλυτική σκέψη,released,skill/competence,transversal,αναλυτική ικανότητα | αναλυτικός τρόπος σκέψης | αναλυτικό πνεύμα· αναλυτική αντίληψη,"Παραγωγή σκέψεων με τη χρήση της λογικής και της συλλογιστικής προκειμένου να εντοπιστούν τα δυνατά και τα αδύνατα σημεία των εναλλακτικών λύσεων, συμπερασμάτων ή προσεγγίσεων στα προβλήματα.",http://data.europa.eu/esco/skill/fff1d675-c36a-4c12-9cd4-407f21ccd06a,"Επεξεργασία πληροφοριών, ιδεών και εννοιών"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4cd85845-f31c-4306-994d-e12d45114d83,διδασκαλία σε ακαδημαϊκό ή επαγγελματικό πλαίσιο,released,skill/competence,cross-sector,,"Εκπαίδευση σπουδαστών στη θεωρία και την πρακτική ακαδημαϊκών ή επαγγελματικών μαθημάτων, στο πλαίσιο της οποίας μεταδίδεται το περιεχόμενο ιδίων ερευνητικών δραστηριοτήτων και ερευνητικών δραστηριοτήτων άλλων.
	",http://data.europa.eu/esco/skill/335be43a-3267-400e-b5cb-c9e234dc7544,διδασκαλία ακαδημαϊκών ή επαγγελματικών θεμάτων
