conceptType,conceptUri,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,inScheme,description,code
SkillGroup,http://data.europa.eu/esco/isced-f/00,γενικά προγράμματα και προσόντα,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,00
SkillGroup,http://data.europa.eu/esco/isced-f/000,γενικά προγράμματα και προσόντα που δεν προσδιορίζονται περαιτέρω,,,released,2023-07-13T15:16:44.968Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,000
SkillGroup,http://data.europa.eu/esco/isced-f/0000,γενικά προγράμματα και προσόντα που δεν προσδιορίζονται περαιτέρω,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0000
SkillGroup,http://data.europa.eu/esco/isced-f/001,βασικά προγράμματα και προσόντα,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,001
SkillGroup,http://data.europa.eu/esco/isced-f/0011,βασικά προγράμματα και προσόντα,,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0011
SkillGroup,http://data.europa.eu/esco/isced-f/002,"γραφή, ανάγνωση και αριθμητική",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,002
SkillGroup,http://data.europa.eu/esco/isced-f/0021,"γραφή, ανάγνωση και αριθμητική",,,released,,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0021
SkillGroup,http://data.europa.eu/esco/isced-f/003,προσωπικές δεξιότητες και ανάπτυξη,,,released,2023-07-04T13:43:35.384Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,003
SkillGroup,http://data.europa.eu/esco/isced-f/0031,προσωπικές δεξιότητες και ανάπτυξη,,,released,2024-07-03T13:25:01.639Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,0031
SkillGroup,http://data.europa.eu/esco/isced-f/009,γενικά προγράμματα και προσόντα που δεν ταξινομούνται αλλού,,,released,2023-10-30T10:21:59.843Z,,"http://data.europa.eu/esco/concept-scheme/skills
http://data.europa.eu/esco/concept-scheme/skills-hierarchy
http://data.europa.eu/esco/concept-scheme/isced-f",,009
