conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,hiddenLabels,status,modifiedDate,scopeNote,definition,inScheme,description
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0005c151-5b5a-4a66-8aac-60e734beb1ab,skill/competence,sector-specific,διοίκηση του μουσικού προσωπικού,,,released,2023-11-30T15:53:37.136Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Ανάθεση και διαχείριση καθηκόντων του προσωπικού σε τομείς όπως η βαθμολόγηση, η διασκευή, η μουσική αναπαραγωγή και η φωνητική καθοδήγηση."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00064735-8fad-454b-90c7-ed858cc993f2,skill/competence,occupation-specific,εποπτεία σωφρονιστικών διαδικασιών,,,released,2023-11-30T15:04:00.689Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Εποπτεία της λειτουργίας σωφρονιστικού ιδρύματος ή άλλων σωφρονιστικών διαδικασιών για να διασφαλιστεί η συμμόρφωση με τις νομοθετικές διατάξεις, η συμμόρφωση του προσωπικού με τους κανονισμούς, καθώς και η βελτίωση της αποτελεσματικότητας και της ασφάλειας του ιδρύματος."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000709ed-2be5-4193-b056-45a97698d828,skill/competence,sector-specific,εφαρμογή πρακτικών εναντίον της καταπίεσης,,,released,2023-11-28T10:45:53.54Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Προσδιορισμός της καταπίεσης στις κοινωνίες, τις οικονομίες, τους πολιτισμούς και τις ομάδες, ενεργώντας ως επαγγελματίας κατά τρόπο μη καταπιεστικό, ώστε οι χρήστες των υπηρεσιών να μπορούν να λαμβάνουν μέτρα για τη βελτίωση της ζωής τους και να δίνουν τη δυνατότητα στους πολίτες να αλλάζουν το περιβάλλον σύμφωνα με τα δικά τους συμφέροντα."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0007bdc2-dd15-4824-b7d6-416522c46f35,skill/competence,sector-specific,έλεγχος της συμμόρφωσης των κανονισμών για τα σιδηροδρομικά οχήματα,,,released,2023-11-30T16:29:18.273Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Επιθεώρηση του τροχαίου υλικού, των στοιχείων και των συστημάτων για τη διασφάλιση της συμμόρφωσης με τα πρότυπα και τις προδιαγραφές."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00090cc1-1f27-439e-a4e0-19a87a501bfc,skill/competence,cross-sector,εντοπισμός διαθέσιμων υπηρεσιών,,,released,2023-11-28T10:38:49.206Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Προσδιορισμός των διαφόρων υπηρεσιών που διατίθενται για τους δράστες κατά τη διάρκεια της περιόδου επιτήρησης, για τη στήριξη της διαδικασίας αποκατάστασης και επανένταξης, καθώς και ενημέρωση του δράστη σχετικά με τον τρόπο με τον οποίο μπορεί να εντοπίσει τις υπηρεσίες που έχει στη διάθεσή του."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000bb1e4-89f0-4b86-be05-05ece3641724,skill/competence,cross-sector,διενέργεια τοξικολογικών μελετών,,,released,2023-11-30T15:10:42.752Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Διενέργεια δοκιμών για τον εντοπισμό δηλητηριωδών ουσιών ή ναρκωτικών και παρακολούθηση της θεραπείας με τη χρήση χημικών αντιδραστηρίων, ενζύμων, ραδιοϊσοτόπων και αντισωμάτων για την ανίχνευση μη φυσιολογικών χημικών συγκεντρώσεων στο σώμα."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000c94d2-2a2e-4545-993c-6df8cb5b0316,skill/competence,occupation-specific,διασφάλιση της ομοιομορφίας των κοχυλιών,,,released,2023-11-30T16:49:26.078Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills","Επίβλεψη ομοιομορφίας κοχυλιών. Χρήση εξοπλισμού χύτευσης και εργαλείων, όπως μηχανών συγκόλλησης."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,knowledge,sector-specific,Haskell,,,released,2023-11-30T16:13:21.77Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/6c930acd-c104-4ece-acf7-f44fd7333036","Τεχνικές και αρχές ανάπτυξης λογισμικού, όπως η ανάλυση, οι αλγόριθμοι, η συγγραφή κώδικα, οι δοκιμές και η κατάρτιση προγραμματιστικών υποδειγμάτων στην Haskell."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f,skill/competence,transversal,επίδειξη πρωτοβουλίας,"ανάληψη δράσης
επίδειξη αίσθησης πρωτοβουλίας
ανάληψη  πρωτοβουλίας
επίδειξη κινητοποίησης",,released,2021-09-02T16:37:00.315Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/member-skills,
http://data.europa.eu/esco/concept-scheme/skill-transversal-groups","Προδραστικότητα του ατόμου και ανάληψη του πρώτου βήματος σε μια δράση χωρίς να περιμένει τι λένε ή τι κάνουν άλλοι.
	"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123,skill/competence,sector-specific,εκπαίδευση του προσωπικού για τη μείωση της σπατάλης τροφίμων,"εκπαίδευση του προσωπικού για τη μείωση των απορριμμάτων τροφίμων
εκπαίδευση των εργαζομένων σε μεθόδους ανακύκλωσης τροφίμων
ενημέρωση του προσωπικού για τις πρακτικές μείωσης των αποβλήτων τροφίμων
διδάσκουν στους μαθητές πρακτικές μείωσης της σπατάλης τροφίμων",,released,2021-01-20T14:31:01.524Z,,,"http://data.europa.eu/esco/concept-scheme/skills,
http://data.europa.eu/esco/concept-scheme/green,
http://data.europa.eu/esco/concept-scheme/member-skills","Δημιουργία νέων προγραμμάτων εκπαίδευσης και ανάπτυξης του προσωπικού με σκοπό τη στήριξη των γνώσεων του προσωπικού στους τομείς της πρόληψης της σπατάλης τροφίμων και των πρακτικών ανακύκλωσης τροφίμων. Διασφάλιση της κατανόησης από το προσωπικό των μεθόδων και των εργαλείων για την ανακύκλωση τροφίμων, π.χ. διαχωρισμός αποβλήτων.
	"
