conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f,skill/competence,transversal,επίδειξη πρωτοβουλίας,released,ανάληψη δράσης | επίδειξη αίσθησης πρωτοβουλίας | ανάληψη  πρωτοβουλίας | επίδειξη κινητοποίησης,"Προδραστικότητα του ατόμου και ανάληψη του πρώτου βήματος σε μια δράση χωρίς να περιμένει τι λένε ή τι κάνουν άλλοι.
	",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,Προδραστική προσέγγιση
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25,skill/competence,transversal,υιοθέτηση τρόπων προώθησης της βιοποικιλότητας και της καλής διαβίωσης των ζώων,released,υιοθέτηση μιας βιώσιμης διατροφικής συνήθειας | εφαρμογή περιβαλλοντικών επιλογών στις διατροφικές συνήθειες | προώθηση της κατανάλωσης βιολογικών και βιολογικών τροφίμων | υπόστήριξη της βιοποικιλότητας και της καλής μεταχείρισης των ζώων | μέριμνα για την καλή διαβίωση των ζώων κατά την αγορά τροφίμων | έχονταςυπόψη τα ζητήματα βιωσιμότητας στις καταναλωτικές επιλογές,"Υιοθέτηση συμπεριφορών που συμβάλλουν στη διατήρηση σταθερών οικοσυστημάτων και στην καταπολέμηση της μαζικής εξαφάνισης, για παράδειγμα με συνειδητές διατροφικές επιλογές που στηρίζουν τη βιολογική παραγωγή τροφίμων και την καλή διαβίωση των ζώων
	",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,Εφαρμογή δεξιοτήτων και ικανοτήτων στον τομέα του περιβάλλοντος
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/045f71e6-0699-4169-8a54-9c6b96f3174d,skill/competence,transversal,παροχή συμβουλών σε άλλους,released,καθοδήγηση άλλων | άτομα μέντορες,"Διατύπωση προτάσεων σχετικά με την καλύτερη δυνατή πορεία δράσης.
	",http://data.europa.eu/esco/skill/82463bb1-85d1-4e99-a4ce-08508fc3b2a3,Παροχή στήριξης σε άλλους
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05aa7c09-46e7-433f-a81b-92841f4551e7,skill/competence,transversal,αποδοχή κριτικής και καθοδήγησης,released,αποδοχή σχολίων | ανοχή προς τους κριτικούς | αποδοχή κριτικής | ευπρόσδεκτα σχόλια | χειρισμός ανατροφοδότησης | αποδοχή εποικοδομητικής κριτικής | ευπρόσδεκτη κριτική,"Χειρισμός των αρνητικών σχολίων από άλλους και αντιμετώπιση της κριτικής με ανοικτό μυαλό, εντοπίζοντας σε αυτήν πιθανούς τομείς που επιδέχονται βελτίωση.
	",http://data.europa.eu/esco/skill/f5c9eef3-0495-4747-9519-d71a58d252bd,Επίδειξη βούλησης για μάθηση
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0b709c64-a57a-4976-86bd-34d2cf34fa4f,skill/competence,transversal,"εφαρμογή γνώσεων σχετικά με τη φιλοσοφία, την ηθική και τη θρησκεία",released,"εφαρμογή ηθικών αξιών και θρησκευτικών πεποιθήσεων | αξιολόγηση των συνεπειών και του αντικτύπου των ιδεών, των ευκαιριών και των ενεργειών | αξιολόγηση των ηθικών και δεοντολογικών συνεπειών των πράξεων | ενέργεια σύμφωνα με ηθικές και θρησκευτικές αξίες | εφαρμογή φιλοσοφικής σχολής σκέψεων","Ανακάλυψη και ανάπτυξη ατομικής οπτικής σχετικά με τους ρόλους, το νόημα και τον σκοπό του ατόμου, συμπεριλαμβανομένου του τι σημαίνει να ζει, να πεθαίνει και να είναι άνθρωπος.
	",http://data.europa.eu/esco/skill/44ff6716-7d71-4a16-821b-61d10e9e290d,Εφαρμογή γενικών γνώσεων
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0d75a128-bd88-4c1b-b70d-8e963aeb490c,skill/competence,transversal,υιοθέτηση τρόπων μείωσης της ρύπανσης,released,διαχείριση ίδιων απορριμάτων | μείωση του θορύβου | προτίμηση δημόσιων από τις ιδιωτικές συγκοινωνίες | χρήση μέσων μαζικής μεταφοράς | πρόληψη της ρύπανσης,"Εφαρμογή μέτρων για τη μείωση της ατμοσφαιρικής ρύπανσης, της ηχορύπανσης, της φωτορύπανσης, της ρύπανσης των υδάτων ή της ρύπανσης του περιβάλλοντος, για παράδειγμα με τη χρήση των δημόσιων μέσων μεταφοράς, την αποφυγή της δημιουργίας αποβλήτων στο φυσικό περιβάλλον και τη μείωση των περιττών εκπομπών φωτός και θορύβου, ιδίως κατά τη διάρκεια της νύχτας.
	",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,Εφαρμογή δεξιοτήτων και ικανοτήτων στον τομέα του περιβάλλοντος
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/113b4428-0a31-4199-8496-070af7854b91,skill/competence,transversal,εκπλήρωση δεσμεύσεων,released,,Εκτέλεση καθηκόντων με αυτοπειθαρχία και με αξιόπιστο τρόπο προσανατολισμένο πάντοτε στον στόχο.,http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,Αποδοτική εργασία
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/13b4a3d2-abdf-4442-8e52-d7464a58ecbc,skill/competence,transversal,προσαρμογή σε σωματικές απαιτήσεις,released,εργασία κάτω από αντίξοες καιρικές συνθήκες | αντοχή σε δυσμενείς θερμοκρασίες | επίδειξη σωματικής ανθεκτικότητας,"Επίδειξη ικανότητας αντοχής σε υψηλή σωματική καταπόνηση από την εργασία ή τον αθλητισμό. Περιλαμβάνονται το γονάτισμα, η ορθοστασία ή το τρέξιμο για μεγάλο χρονικό διάστημα ή η εργασία υπό δύσκολες μετεωρολογικές συνθήκες, όπως η υψηλή θερμοκρασία, το ισχυρό ψύχος και η έντονη βροχή.
	",http://data.europa.eu/esco/skill/e52389a2-1a05-45b0-8db3-4bda0f0c0b48,Ανταπόκριση σε φυσικές συνθήκες
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1,skill/competence,transversal,ανάληψη ευθύνης,released,επίδειξη υπευθυνότητας | επίδειξη ευσυνείδητης στάσης | ετοιμότητα για ανάληψη ευθυνών | αίσθημα ευθύνης | επίδειξη υπεύθυνης συμπεριφοράς,"Αποδοχή ευθύνης και λογοδοσίας για τις επαγγελματικές αποφάσεις και ενέργειες του ίδιου του ατόμου ή για εκείνες που αναθέτει σε τρίτους.
	",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,Προδραστική προσέγγιση
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/19a64e91-bfe3-4c48-9225-3bb1229b12f0,skill/competence,transversal,επίδειξη αποφασιστικότητας,released,επίδειξη ενθουσιασμού | επιμονή | προσπάθεια | επίδειξη θετικής διάθεσης | προσπάθεια για την επιτυχία | επίδειξη εστιασμένης προσέγγισης | ξεκάθαροι στόχουι | επίδειξη θετικής σκέψης | επίδειξη θετικής στάσης | επίδειξη ενθουσιασμούπροσπάθεια για αποτελέσματα,"Επίδειξη αφοσίωσης σε κάτι που είναι δύσκολο να γίνει και απαιτεί σκληρή εργασία. Επίδειξη μεγάλης προσπάθειας ωθούμενης από ενδιαφέρον ή απόλαυση για τις ίδιες τις εργασίες, απουσία εξωτερικών πιέσεων.
	",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,Προδραστική προσέγγιση
